id;birthday;color;date_of_decease;health_status;is_approved;kennel;micro_chip;name;picture_url;registration_num;sex;father_rn;mother_rn;owner_id
1;2014-06-12;Fawn;;;TRUE;Casa dei Iola;NA;Bjork di Casa dei Iola;;COR A 3738-14/144;Female;COR A 3154-07/144;COR A 3545-12/144;
2;2016-02-02;Fawn;;;TRUE;Center Of The Universe;NA;Amiro Center Of the Universe;;PK 32519/16;Male;LOF  140796;PK 19065/12;
3;2016-02-02;Fawn;;;TRUE;Center Of The Universe;NA;Armagedon Center Of The Universe;http://res.cloudinary.com/dusaavzkc/image/upload/v1701343155/dpe5xw5kfc5zrlu37yah.jpg;PK 32517/16;Male;LOF  140796;PK 19065/12;
4;2008-11-23;Brindle;;;TRUE;Sveti Georgije;6,8805E+14;Frida Sveti Georgije;http://res.cloudinary.com/dusaavzkc/image/upload/v1701343343/xr1splrsqmwasejzt6z9.jpg;PK 11482/09;Female;JR 84118 Nb;JR 76821 Nb;
5;2007-12-29;Brindle;;Hip: FCI: A;TRUE;di noi Vincere;NA;CH BG Solaris di noi Vincere;http://res.cloudinary.com/dusaavzkc/image/upload/v1698481868/hp3eqkln7kqvjxmauyke.jpg;PK 12157/09;Female;LOE 1466886;NHSB 2583871;
6;2014-06-12;Fawn;;;TRUE;Casa dei Iola;NA;Bozo di Casa dei Iola;;COR A 3736-14/144;Male;COR A 3154-07/144;COR A 3545-12/144;
7;2014-12-27;Brindle;;;TRUE;;;GHANIMA DI MERGELLINA;;LOI 15-51196;Female;JR 84754 Nb;NA3;
8;2014-09-08;Brindle;;;TRUE;DEL ROLANUS;NA;ISOTTA DEL ROLANUS;;LOI 14-167783;Female;LOE 2082996;ROI 11/92159;
9;2012-04-28;Fawn;;;TRUE;CALDARELLI;NA;PAKO BOXER CALDARELLI;;LOI 12-83766;Male;LOI 10/88448;LOI 06/21098;
10;2015-07-25;Brindle;;;TRUE;Casa dei Iola;NA;Detroit di Casa dei Iola;;COR A 3901-16/144;Female;LOI 10/62348;COR A 3642-13/144;
