type;description;title;urlLink
CANINE ORGANISATIONS;FCI - Fédération Cynologique Internationale The Fédération Cynologique Internationale is the World Canine Organisation. ;FCI;https://www.fci.be/en/
CANINE ORGANISATIONS;KENNEL UNION BULGARIA;KENNEL UNION BULGARIA;https://kennelunion.bg/
CANINE ORGANISATIONS;ATIBOX;ATIBOX;https://www.atibox.dog/
BOXER CLUBS;;Boxer Club Italia;https://www.boxerclubitalia.it/
BOXER CLUBS;;Norvegian Boxer Club;https://www.norskboxerklubb.no/
BOXER CLUBS;;Boxer-Klub Deutschland;https://www.bk-muenchen.de/
BOXER CLUBS;;Royal Belgian Boxer Club;http://www.boxerclub.be/
BOXER CLUBS;;Boxer Club de Portugal;http://www.boxerclubportugal.com/
BOXER CLUBS;;Boxer Club de España;http://www.boxerclub.es/
BOXER CLUBS;;Niederlande Boxer-Klub;http://www.nederlandseboxerclub.nl/
BOXER CLUBS;;Boxer Club Suisse;http://www.boxerhunde.ch/
BOXER CLUBS;;Association Française du Boxer;http://www.afboxer.com
BOXER CLUBS;;Östereichischer Boxer Klub;http://www.boxerclub-hunde.at/
BOXER CLUBS;;Boxer-Klubben Danmark;http://www.boxer-klubben.dk/
BOXER CLUBS;;Svenska Boxerklubben;http://www.boxerklubben.nu/
BOXER CLUBS;;Russian Boxer-Club;http://www.boxer.ru/
BOXER CLUBS;;Boxer Klub Zagreb - Hrvatska;http://www.boxerclub.hr/
BOXER CLUBS;;Slovenský boxer klub;http://www.boxerklub.sk
BOXER CLUBS;;Boxerklub Ceske Republiky;http://www.boxerklub.cz/
BOXER CLUBS;;Klub Boksera w Polsce;http://www.boxerklub.pl/
BOXER CLUBS;;Bokser Klub Serbia;https://www.facebook.com/BoxerclubSerbia/
BOXER CLUBS;;Nemzeti Boxer Klub;https://boxerklub.hu/
BOXER CLUBS;;American Boxer Club;http://www.usabox.org/
BOXER CLUBS;;Federation Boxers Clubs South Africa;http://www.fbcsa.za.org/
BOXER CLUBS;;Estonian Boxer Club;http://www.bokser.ee/
